id,producer_id,name,name_short,variant_name,variant_name_short,model_name,erp_product_id,shop_id,shop_variant_id,show_from,show_to,ean,parent_product_id,product_availability_id,price_selling,price_old,has_variant,vat_rate_id,product_category_id,producer_code,season,date_created,partner_id,sold_out_score,category1,category2,category3,category4,producer
414749,5,Dětský sportovní batoh Husky Jikko 15 - modrá/oranžová,Dětský sportovní batoh Husky Jikko 15,Barva: modrá/oranžová,modrá/oranžová,Jikko 15,654608,145975,853657,2026-01-15 00:00:00,2036-04-20 00:00:00,8592287052022,414737,10,600,650,,1,91,HC0-0053,SS26,2026-04-21 00:59:55,,1,"Batohy, tašky, kufry",Podle pohlaví,Dětské batohy,Dětské batohy,Husky
318677,370,"Dámské běžecké boty Dynafit Feline SL W - 38,5 / modrá/růžová",Dámské běžecké boty Dynafit Feline SL W,"Velikost bot (EU): 38,5 / Barva: modrá/růžová","38,5 / modrá/růžová",Feline SL W,558731,64520,663727,2025-01-13 00:00:00,2036-04-20 00:00:00,4053866478113,32050,10,2709,4000,,1,453,08-0000064054,SS25,2026-04-21 00:59:55,,0.3,Boty,Běžecké boty,Dámské běžecké boty,Dámské běžecké boty,Dynafit
538997,350,Cyklistická helma POC Cularis Pure,Cyklistická helma POC Cularis Pure,,,Cularis Pure,769313,185406,,2026-04-06 00:00:00,2036-04-20 00:00:00,,,2,3669,4590,true,1,151,,,2026-04-21 00:59:55,,,Vybavení na kolo,Cyklistické helmy,Cyklistické helmy,Cyklistické helmy,POC
433726,284,Sportovní podprsenka Icebreaker W Mer 125 Cool-Lite Sprite Racerback Bra - S / černá,Sportovní podprsenka Icebreaker W Mer 125 Cool-Lite Sprite Racerback Bra,Velikost podprsenky: S / Barva: černá,S / černá,W Mer 125 Cool-Lite Sprite Racerback Bra,668455,152769,895959,2026-02-02 00:00:00,2036-04-20 00:00:00,195437945472,433725,2,1169,1299,,1,274,IB0A57240011,SS26,2026-04-21 00:59:55,,0.7,Oblečení,Funkční prádlo,Dámské funkční prádlo,Dámské funkční podprsenky,Icebreaker
18403,217,Ručník Zulu Light 85x150 cm,Ručník Zulu Light 85x150 cm,,,Light 85x150 cm,33741,29455,,2025-01-13 00:00:00,2036-04-20 00:00:00,,,2,219,379,true,1,354,,,2026-04-21 00:59:55,,1,Vybavení,"Hygiena, ochrana, první pomoc",Rychleschnoucí ručníky,Rychleschnoucí ručníky,Zulu
501709,14,Pánská mikina Trimm Echo - L / žlutá,Pánská mikina Trimm Echo,Velikost: L / Barva: žlutá,L / žlutá,Echo,732312,126124,1055337,2025-01-13 00:00:00,2036-04-20 00:00:00,8595225565837,334366,10,1339,1490,,1,446,56583,SS26,2026-04-21 00:59:55,,1,Oblečení,Mikiny,Pánské mikiny,Pánské funkční mikiny,Trimm
502350,432,Batoh Vaude Coreway Rolltop 20,Batoh Vaude Coreway Rolltop 20,,,Coreway Rolltop 20,735391,172852,,2025-09-16 00:00:00,2036-04-20 00:00:00,,,2,1649,2500,true,1,84,,,2026-04-21 00:59:55,,,"Batohy, tašky, kufry",Batohy,Městské batohy,Městské batohy,Vaude
537314,33,Pánská bunda Mountain Equipment Squall Hooded Jacket - M / tmavě modrá,Pánská bunda Mountain Equipment Squall Hooded Jacket,Velikost: M / Barva: tmavě modrá,M / tmavě modrá,Squall Hooded Jacket,766314,184872,1135489,2026-03-25 00:00:00,2036-04-20 00:00:00,5053817405808,537313,10,3779,4199,,1,239,ME-008746,SS26,2026-04-21 00:59:55,,0.3,Oblečení,Bundy,Přechodné jarní a podzimní bundy,Pánské jarní a podzimní bundy,Mountain Equipment
527359,354,Pánské kraťasy Under Armour Vanish Woven Short Dc,Pánské kraťasy Under Armour Vanish Woven Short Dc,,,Vanish Woven Short Dc,760574,181954,,2026-03-18 00:00:00,2036-04-19 00:00:00,,,2,1019,1199,true,1,108,,,2026-04-21 00:59:55,,,Oblečení,Kraťasy a 3/4 kalhoty,Pánské kraťasy a 3/4 kalhoty,Pánské kraťasy a 3/4 kalhoty,Under Armour
143826,361,Dámské funkční triko Brynje of Norway Lady Wool Thermo light Shirt - M / černá,Dámské funkční triko Brynje of Norway Lady Wool Thermo light Shirt,Velikost: M / Barva: černá,M / černá,Lady Wool Thermo light Shirt,79109,60513,224298,2025-04-29 00:00:00,2036-04-20 00:00:00,7024874150442,30343,2,1959,1850,,1,280,10140301BL38,FW25,2026-04-21 00:59:55,,0.7,Oblečení,Funkční prádlo,Dámské funkční prádlo,Dámská funkční trika s dlouhým rukávem,Brynje of Norway
543179,150,Pánské kalhoty Northfinder Socrates 2v1 NEPOUŽÍVAT,Pánské kalhoty Northfinder Socrates 2v1 NEPOUŽÍVAT,,,Socrates 2v1 NEPOUŽÍVAT,773332,186583,,2026-04-19 00:00:00,2026-04-19 00:00:00,8584153665337,,1,2699,2699,,1,107,108584,SS26,2026-04-21 00:59:55,,,Oblečení,Outdoorové kalhoty,Pánské kalhoty,Pánské kalhoty,Northfinder
482413,551,Pánské boxerky MOOA MerinoSilk 6in - L / oranžová,Pánské boxerky MOOA MerinoSilk 6in,Velikost: L / Barva: oranžová,L / oranžová,MerinoSilk 6in,712438,168795,1007691,2025-10-30 00:00:00,2036-04-20 00:00:00,8595698847966,482407,2,599,829,,1,279,,SS26,2026-04-21 00:59:55,,1,Oblečení,Funkční prádlo,Pánské termoprádlo,Pánské boxerky,MOOA
514453,131,Dámská funkční mikina Salewa Puez Cammino Pl Jkt W - M / modrá/zelená,Dámská funkční mikina Salewa Puez Cammino Pl Jkt W,Velikost: M / Barva: modrá/zelená,M / modrá/zelená,Puez Cammino Pl Jkt W,744372,160687,1083051,2025-03-18 00:00:00,2036-04-20 00:00:00,4053866853385,458276,2,2029,2250,,1,447,00-0000029095_3011,SS26,2026-04-21 00:59:55,,1,Oblečení,Mikiny,Dámské mikiny,Dámské funkční mikiny,Salewa
479891,153,Dámská bunda Mammut Waymarker IN Jacket Women,Dámská bunda Mammut Waymarker IN Jacket Women,,,Waymarker IN Jacket Women,720164,167950,,2025-10-23 00:00:00,2036-04-20 00:00:00,,,2,3659,5590,true,1,210,,,2026-04-21 00:59:55,,,Oblečení,Bundy,Zimní bundy,Dámské zimní bundy,Mammut
